Batch ID,CaCO₃ (%),Moisture (%),Avg Particle Size (mm),Temp Profile (°C),Retention Time (hr),Fuel Consumption (kg),Available CaO (%),Reactivity (sec),Kiln Feed Rate (tons/hour),Kiln Temperature (°C),Airflow Rate (m³/min),Lime Quality Index
LIME0001,95.99342830602247,4.324821725025618,2.568253197517533,844.2959320883456,4.98348736814022,466.0752634756389,78.95517481548477,8.438616423719429,61.74814057585692,125.54038833215597,18.34411025532264,68.28523625877214
LIME0002,94.72347139765763,4.8554813292844825,2.9843982555304582,868.4534583131104,4.7481748698122015,484.72502684731734,81.99168307948963,10.311425614451032,31.21019055246173,63.320803305127825,35.50801500734856,50.3723787789078
LIME0003,96.29537707620139,4.207580079000039,3.0090084360222233,852.8969908212878,4.913812521273169,470.13094694774287,77.16655763961839,-1.3503897111022072,46.722049441225366,98.50343706838088,11.479470850119098,60.36125098803639
LIME0004,98.04605971281605,4.69203847036096,3.236315172921703,872.6002090629431,5.35736586375885,505.520902347306,82.67177366296447,5.277821501309237,49.58339976618665,105.25994143987084,19.713951494574488,58.088040936133815
LIME0005,94.53169325055333,3.106385333046214,2.316570818359587,,5.638928327515257,559.8589265730957,79.94324672830138,10.640280517658379,50.15908658399631,105.13518541710675,11.309246909689582,68.3601133986533
LIME0006,94.53172608610164,5.213293707372938,3.296283636923665,941.8577243165693,8.070125227065416,461.4478921429398,80.5659370817701,13.142066830472832,51.80496056078081,109.81580971595801,18.94854542483494,67.37629700791334
LIME0007,98.15842563101478,5.001205475362224,1.6478041841986124,883.9420480647149,5.050861604235885,550.0410248884207,80.09320464131963,-1.9968689730026723,56.104398198094934,114.23281607215934,17.802400928427357,62.5839736123089
LIME0008,96.53486945830582,4.182911368931809,2.685057723818095,820.7187146615204,5.749005885152214,460.91639638265565,83.99278569122052,2.8366380618855898,49.64592560954649,104.05402497120205,12.69500790086866,68.92158573413145
LIME0009,94.0610512281301,5.659245668432405,2.7558630787742278,957.003392324758,4.843581763474239,457.6186393751558,77.74357061192167,11.650591532184153,46.31941717856319,98.73532713158109,27.363733192006347,55.92415241056515
LIME0010,96.08512008717193,5.937570137626558,3.316663413035619,858.145493319248,5.515459669183453,540.9297309171607,84.84001190938582,3.3949597740807596,45.92410655340304,95.82254452313451,22.63310359818615,59.15974961240466
LIME0011,94.07316461437507,3.392440135631026,3.0113154263384345,897.0639786447686,4.855968600824361,546.0968189003809,79.05843526065154,1.542914707451141,43.88484197961645,93.73317175238945,20.239840967202856,63.97724241870652
LIME0012,94.06854049285948,4.237275221433785,2.297218473071857,922.3268253470355,5.215511479005446,542.5704968381327,80.52106471577731,-2.1482621965213617,57.87543324326865,120.97344465406502,21.67462664899616,64.2887211652958
LIME0013,95.48392454313206,4.230857650212702,2.5075034370914926,909.9805209201392,4.943218717604775,434.21012958909296,81.5178541911396,0.621187943423525,43.53471520523485,89.97406295938056,17.583334721567226,54.41890335300723
LIME0014,91.1734395106844,4.0600968988911355,3.0993400047737034,954.7089773760738,4.972073908673595,476.70245109639745,78.64027890417402,-2.277563295302615,58.467711090082446,120.4856406158807,13.415944198453705,59.74608911648137
LIME0015,91.55016433497393,5.829474841931749,2.960466329067722,923.9501571696379,4.811306741268895,541.1494296001661,78.33447619575855,6.582950193924317,50.18999082259871,104.50461575912225,13.025924778924896,60.83392600547538
LIME0016,93.87542494151805,4.8061738612271965,2.710437945182127,856.9345210151446,5.672427015590348,502.0770920281947,80.09810932921167,10.272554672257648,44.7874519314387,89.78172893607623,27.73081793981767,54.65738063754129
LIME0017,,4.735485158689389,2.7595831052440105,1008.928108699583,4.633536980945732,446.3153576901268,79.9388647242755,-0.5262936863024432,56.18407215744135,119.88023723838668,18.79567779617191,63.49629626310917
LIME0018,,2.9961376355932465,3.3480839985796447,909.7166731669116,4.629883873725646,522.915896956272,82.25031872103732,6.428208235574737,42.72546075276882,92.67242708466678,25.383453256432116,55.600643075861726
LIME0019,93.18395184895758,5.635418030209227,2.7411537135653927,892.6329886689247,6.060496782922555,464.2596370504265,79.3109141007957,10.199555744064302,56.38184040728213,116.76258646316228,18.63921083469681,67.56814731170834
LIME0020,92.17539259732942,3.7607416051465274,2.9559543779854636,948.1962711527785,5.4889237823271655,589.7262424196106,80.29144237551033,5.689556775732658,52.12726121191785,104.73443868624831,20.90512335666964,59.60400384902922
LIME0021,97.93129753784311,5.059932630266328,4.084968294040271,912.4725472965036,3.807443150653482,577.2420731209129,84.72945055551016,-3.6658354110180493,44.03675310908079,96.76438488938828,22.942537669112145,59.92399072957711
LIME0022,94.54844739902693,5.277376937958191,2.2881586815580386,919.9614096469663,4.717370630394798,,81.99489389986215,7.105612645317171,55.28634815334559,113.48847901835067,18.900411944861894,64.18739508074798
LIME0023,95.13505640937585,6.360658595838651,2.074078634212671,1024.6091999300343,4.094005331218973,568.0503352384887,82.29147379269209,4.814650287691976,55.465897256886386,112.33642533902321,18.351906554395676,63.74084975683044
LIME0024,92.15050362757309,3.691179600880888,3.3917948323993032,886.2439285872476,4.524654653292372,503.23956750616907,78.8443070706667,5.308776818294748,61.57519605809958,127.70390875048179,14.41453016114928,69.22775675770579
LIME0025,93.91123455094963,1.9804878441791747,2.6606784693529484,884.1119552991302,3.4307426668829804,538.2718747187508,76.94370065551517,3.9264323345208734,59.66147012409296,128.1356200111254,16.6213620252185,70.24581684449964
LIME0026,95.22184517941973,5.183849544753695,2.84088123612869,905.8289256006232,4.931505211153029,573.8860147651037,79.71579930240162,6.293090473529608,54.91274020726283,113.05343356005653,19.031493952521494,66.5163917229683
LIME0027,92.69801284515539,6.800511181510854,2.609421810934443,953.575796779052,4.429029090419344,512.2749340897157,79.39101360775305,8.567987154408327,38.72409048791237,81.89915275027901,26.155365550621354,56.35698092557401
LIME0028,95.75139603669135,6.238946352939437,2.8700999296162437,824.6732984904801,5.029952628398219,487.2406414242858,83.82692172665236,16.494839335087093,74.48586988174057,155.1624092982215,8.992048804215582,71.13651720140837
LIME0029,93.7987226201624,,3.799269056048171,801.7222054261747,4.187439370558738,414.76890209114424,84.94379074428487,4.932973669042464,35.9638378892819,72.77472480404998,23.770748691855907,51.60861364021161
LIME0030,94.41661250041345,4.508363814367953,3.4010642293090596,870.6442364689926,5.04145592658602,495.8433237139253,82.78422020020673,12.474609355588603,59.49263174282309,122.91519220637227,20.057328530192727,70.75605761594062
LIME0031,93.7965867755412,5.80712259663731,3.4311117559434887,818.3038520470357,4.792541860939837,541.1711592281156,77.72193902884135,8.239194446018436,54.31283816886298,116.49963123177197,17.490871002686884,59.16939048482048
LIME0032,98.70455636901788,4.026453800295531,2.2918864721036774,878.7584326237181,5.7509764825942975,547.2816713783815,83.34247649730409,4.337215348354544,38.25857627518886,81.20003210773132,27.892106339588686,56.48673351765707
LIME0033,94.97300555052414,5.476357769356219,2.4244231317235654,925.1249848064645,5.705678430872813,525.2182532859205,86.43848147898635,4.613829219078337,48.75699061121501,98.68198789111189,17.23351972532854,58.42256546889566
